GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model,ProductMode,9,81,0,10,0,12,2,8,2,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model,JobGeneration,15,198,4,22,5,43,5,21,1,12
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model,EdrsSessionFileRaw,3,93,0,10,1,22,1,14,1,9
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model,EdrsSessionFile,0,151,0,14,0,31,0,20,0,13
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.metadata,SearchMetadata,0,18,0,0,0,5,0,4,0,4
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.metadata,SearchMetadataQuery,0,220,0,16,0,40,0,25,0,17
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.metadata,L0SliceMetadata,0,141,0,14,0,27,0,17,0,10
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.metadata,AbstractMetadata,0,200,0,16,0,35,0,24,0,16
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.metadata,EdrsSessionMetadata,0,8,0,0,0,2,0,1,0,1
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.metadata,L0AcnMetadata,0,141,0,14,0,27,0,17,0,10
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.metadata,SearchMetadataResult,0,86,0,10,0,18,0,13,0,8
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.converter,TaskTableToJobOrderConverter,3,73,1,3,1,16,1,4,0,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.converter,TaskTableDynProcParamToJobOrderProcParamConverter,0,17,0,0,0,5,0,2,0,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.converter,TaskTableCfgFilesToString,0,6,0,0,0,3,0,2,0,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.converter,TaskTableOuputToJobOrderOutput,0,41,0,4,0,11,0,4,0,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.converter,TaskTableFileNameTypeToJobOrderFileNameType.new Object() {...},3,23,0,0,0,1,0,1,0,1
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.converter,TaskTableFileNameTypeToJobOrderFileNameType,2,19,1,3,1,9,1,4,0,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.converter,TaskTableTaskToJobOrderProc,0,32,0,0,0,8,0,2,0,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.converter,SuperConverter,0,9,0,0,0,1,0,1,0,1
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.joborder,JobOrderOutput,0,230,0,18,0,49,0,28,0,19
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.joborder,AbstractJobOrderConf,55,309,0,28,3,61,2,38,2,24
